"Rk","Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","Gls...12","Ast...13","G+A...14","G-PK...15","PK","PKatt","CrdY","CrdR","xG...20","npxG...21","xAG...22","npxG+xAG...23","PrgC","PrgP","PrgR","Gls...27","Ast...28","G+A...29","G-PK...30","G+A-PK","xG...32","xAG...33","xG+xAG","npxG...35","npxG+xAG...36","Matches","logAge"
"1","Patrick van Aanholt","nl NED","DF","Crystal Palace",27,"1990","36","36",3195,"35.5","3","2","5","3","0","0","3","0","2.6","2.6","4.4000000000000004","7","89","212","106","0.08","0.06","0.14000000000000001","0.08","0.14000000000000001","7.0000000000000007E-2","0.12","0.2","7.0000000000000007E-2","0.2","Matches",3.29583686600433
"2","Sergio Agüero","ar ARG","FW","Manchester City",30,"1988","33","31",2459,"27.3","21","8","29","19","2","2","4","0","18.100000000000001","16.5","5","21.5","81","76","253","0.77","0.28999999999999998","1.06","0.7","0.99","0.66","0.18","0.85","0.6","0.79","Matches",3.40119738166216
"3","Nathan Aké","nl NED","DF","Bournemouth",23,"1995","38","38",3411,"37.9","4","0","4","4","0","0","3","0","3.4","3.4","1","4.4000000000000004","20","98","25","0.11","0","0.11","0.11","0.11","0.09","0.03","0.11","0.09","0.11","Matches",3.13549421592915
"4","Marc Albrighton","eng ENG","FW,MF","Leicester City",28,"1989","27","18",1625,"18.100000000000001","2","2","4","2","0","0","3","0","1.2","1.2","2.9","4.0999999999999996","54","64","172","0.11","0.11","0.22","0.11","0.22","7.0000000000000007E-2","0.16","0.23","7.0000000000000007E-2","0.23","Matches",3.3322045101752
"5","Toby Alderweireld","be BEL","DF","Tottenham",29,"1989","34","33",2922,"32.5","0","0","0","0","0","0","3","0","1.1000000000000001","1.1000000000000001","0.6","1.8","25","161","5","0","0","0","0","0","0.03","0.02","0.05","0.03","0.05","Matches",3.36729582998647
"6","Trent Alexander-Arnold","eng ENG","DF","Liverpool",19,"1998","29","27",2462,"27.4","1","12","13","1","0","0","3","0","1.6","1.6","6.3","7.9","70","157","174","0.04","0.44","0.48","0.04","0.48","0.06","0.23","0.28999999999999998","0.06","0.28999999999999998","Matches",2.94443897916644
"7","Alisson","br BRA","GK","Liverpool",25,"1992","38","38",3420,"38","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.2188758248682
"8","Dele Alli","eng ENG","MF","Tottenham",22,"1996","25","22",1825,"20.3","5","3","8","5","0","0","4","0","4.8","4.8","3.1","7.9","48","111","153","0.25","0.15","0.39","0.25","0.39","0.23","0.15","0.39","0.23","0.39","Matches",3.09104245335832
"9","Miguel Almirón","py PAR","MF","Newcastle Utd",24,"1994","10","9",759,"8.4","0","0","0","0","0","0","0","0","1.5","1.5","0.6","2.1","31","25","45","0","0","0","0","0","0.18","7.0000000000000007E-2","0.25","0.17","0.24","Matches",3.17805383034795
"10","Marcos Alonso","es ESP","DF","Chelsea",27,"1990","31","31",2759,"30.7","2","4","6","2","0","0","6","0","3.4","3.4","3.4","6.8","102","146","230","7.0000000000000007E-2","0.13","0.2","7.0000000000000007E-2","0.2","0.11","0.11","0.22","0.11","0.22","Matches",3.29583686600433
"11","Daniel Amartey","gh GHA","DF","Leicester City",23,"1994","9","7",641,"7.1","0","0","0","0","0","0","2","0","0.3","0.3","0.1","0.5","8","34","8","0","0","0","0","0","0.05","0.02","0.06","0.05","0.06","Matches",3.13549421592915
"12","Luke Amos","eng ENG","MF","Tottenham",21,"1997","1","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.04452243772342
"13","Felipe Anderson","br BRA","MF,FW","West Ham",25,"1993","36","36",3043,"33.799999999999997","9","4","13","9","0","0","3","0","5.5","5.5","6.1","11.5","201","191","253","0.27","0.12","0.38","0.27","0.38","0.16","0.18","0.34","0.16","0.34","Matches",3.2188758248682
"14","Florin Andone","ro ROU","FW","Brighton",25,"1993","23","8",881,"9.8000000000000007","3","0","3","3","0","0","5","0","2.5","2.5","0.1","2.6","13","4","62","0.31","0","0.31","0.31","0.31","0.25","0.01","0.26","0.25","0.26","Matches",3.2188758248682
"15","Michail Antonio","jm JAM","MF,FW","West Ham",28,"1990","33","22",2103,"23.4","6","4","10","6","0","0","3","0","7.1","7.1","4.4000000000000004","11.5","87","69","204","0.26","0.17","0.43","0.26","0.43","0.3","0.19","0.49","0.3","0.49","Matches",3.3322045101752
"16","Stuart Armstrong","sct SCO","MF","Southampton",26,"1992","29","16",1432,"15.9","3","2","5","3","0","0","2","0","2","2","1.5","3.4","40","86","90","0.19","0.13","0.31","0.19","0.31","0.12","0.09","0.22","0.12","0.22","Matches",3.25809653802148
"17","Marko Arnautović","at AUT","FW","West Ham",29,"1989","28","24",1990,"22.1","10","4","14","9","1","1","3","0","8.9","8.1","4.4000000000000004","12.5","38","43","195","0.45","0.18","0.63","0.41","0.59","0.4","0.2","0.6","0.37","0.56000000000000005","Matches",3.36729582998647
"18","Kepa Arrizabalaga","es ESP","GK","Chelsea",23,"1994","36","36",3240,"36","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.13549421592915
"19","Harry Arter","ie IRL","MF","Cardiff City",28,"1989","25","24",1997,"22.2","0","1","1","0","0","0","10","0","0.9","0.9","0.5","1.4","13","73","23","0","0.05","0.05","0","0.05","0.04","0.02","0.06","0.04","0.06","Matches",3.3322045101752
"20","Christian Atsu","gh GHA","MF","Newcastle Utd",26,"1992","28","15",1493,"16.600000000000001","1","0","1","1","0","0","2","0","2.1","2.1","1.6","3.7","48","31","72","0.06","0","0.06","0.06","0.06","0.13","0.09","0.22","0.13","0.22","Matches",3.25809653802148
"21","Pierre-Emerick Aubameyang","ga GAB","FW","Arsenal",29,"1989","36","30",2726,"30.3","22","5","27","18","4","5","0","0","22.6","18.5","4.2","22.7","82","70","228","0.73","0.17","0.89","0.59","0.76","0.74","0.14000000000000001","0.88","0.61","0.75","Matches",3.36729582998647
"22","Serge Aurier","ci CIV","DF","Tottenham",25,"1992","8","6",564,"6.3","0","2","2","0","0","0","1","0","0.1","0.1","1","1.1000000000000001","11","26","29","0","0.32","0.32","0","0.32","0.02","0.16","0.18","0.02","0.18","Matches",3.2188758248682
"23","Charlie Austin","eng ENG","FW","Southampton",29,"1989","25","11",983,"10.9","2","2","4","2","0","1","1","0","3.6","3.3","0.9","4.0999999999999996","6","5","44","0.18","0.18","0.37","0.18","0.37","0.33","0.08","0.41","0.3","0.38","Matches",3.36729582998647
"24","Jordan Ayew","gh GHA","FW","Crystal Palace",26,"1991","20","14",1181,"13.1","1","2","3","1","0","0","3","0","2.9","2.9","1.2","4","31","19","90","0.08","0.15","0.23","0.08","0.23","0.22","0.09","0.31","0.22","0.31","Matches",3.25809653802148
"25","Floyd Ayité","tg TOG","FW,MF","Fulham",29,"1988","16","3",476,"5.3","1","0","1","1","0","0","0","0","0.4","0.4","0.5","0.9","14","23","44","0.19","0","0.19","0.19","0.19","7.0000000000000007E-2","0.1","0.17","7.0000000000000007E-2","0.17","Matches",3.36729582998647
"26","César Azpilicueta","es ESP","DF","Chelsea",28,"1989","38","38",3402,"37.799999999999997","1","5","6","1","0","0","4","0","1.2","1.2","2.4","3.6","46","160","205","0.03","0.13","0.16","0.03","0.16","0.03","0.06","0.1","0.03","0.1","Matches",3.3322045101752
"27","Ryan Babel","nl NED","FW,MF","Fulham",31,"1986","16","15",1251,"13.9","5","3","8","5","0","0","3","0","5.7","5.7","2.2000000000000002","7.9","42","40","109","0.36","0.22","0.57999999999999996","0.36","0.57999999999999996","0.41","0.16","0.56999999999999995","0.41","0.56999999999999995","Matches",3.43398720448515
"28","Juninho Bacuna","cw CUW","MF,DF","Huddersfield",20,"1997","21","16",1412,"15.7","1","0","1","1","0","0","4","0","0.7","0.7","1.4","2.1","24","95","30","0.06","0","0.06","0.06","0.06","0.04","0.09","0.14000000000000001","0.04","0.14000000000000001","Matches",2.99573227355399
"29","Leandro Bacuna","cw CUW","MF","Cardiff City",26,"1991","11","4",561,"6.2","0","0","0","0","0","0","2","0","0.1","0.1","0.1","0.2","11","16","5","0","0","0","0","0","0.02","0.01","0.03","0.02","0.03","Matches",3.25809653802148
"30","Eric Bailly","ci CIV","DF","Manchester Utd",24,"1994","12","8",638,"7.1","0","0","0","0","0","0","0","1","0.2","0.2","0","0.2","3","13","2","0","0","0","0","0","0.03","0","0.03","0.03","0.03","Matches",3.17805383034795
"31","Leighton Baines","eng ENG","DF","Everton",33,"1984","6","5",375,"4.2","0","0","0","0","0","0","0","0","0.1","0.1","0.2","0.3","6","17","13","0","0","0","0","0","0.02","0.05","7.0000000000000007E-2","0.02","7.0000000000000007E-2","Matches",3.49650756146648
"32","Fabián Balbuena","py PAR","DF","West Ham",26,"1991","23","23",2013,"22.4","1","0","1","1","0","0","2","0","2.1","2.1","0.2","2.2999999999999998","1","49","4","0.04","0","0.04","0.04","0.04","0.1","0.01","0.1","0.1","0.1","Matches",3.25809653802148
